split,src,tgt,num_pairs,num_queries
train,K16 V7 K19 V19 K3 V19 <sep> Q3 Q19,V19 V19,3,2
train,K14 V3 K7 V14 K0 V0 K2 V15 K3 V10 K4 V6 <sep> Q2 Q0 Q3,V15 V0 V10,6,3
train,K16 V9 K2 V14 K10 V4 K18 V18 K9 V9 <sep> Q16 Q10,V9 V4,5,2
train,K13 V13 K2 V16 K12 V19 K15 V15 K3 V12 <sep> Q3 Q12,V12 V19,5,2
train,K15 V4 K16 V1 K18 V16 K0 V3 K7 V19 K12 V13 <sep> Q0 Q16 Q12,V3 V1 V13,6,3
train,K14 V17 K15 V12 K17 V9 K8 V17 <sep> Q8,V17,4,1
train,K6 V19 K9 V14 K8 V16 K0 V15 K1 V11 K2 V6 <sep> Q8 Q0,V16 V15,6,2
train,K15 V14 K13 V3 K17 V14 K1 V16 K9 V8 K5 V14 <sep> Q13 Q1 Q9,V3 V16 V8,6,3
train,K8 V3 K15 V6 K11 V13 <sep> Q8 Q15 Q11,V3 V6 V13,3,3
train,K14 V2 K18 V19 K17 V6 <sep> Q14,V2,3,1
train,K1 V11 K17 V4 K8 V0 <sep> Q17 Q8 Q1,V4 V0 V11,3,3
train,K18 V2 K4 V13 K16 V5 K9 V4 <sep> Q16 Q9,V5 V4,4,2
train,K4 V12 K16 V2 K6 V1 K12 V11 K0 V11 K1 V0 <sep> Q4 Q0,V12 V11,6,2
train,K9 V18 K14 V19 K10 V5 K3 V4 K15 V18 K7 V16 <sep> Q14 Q3,V19 V4,6,2
train,K19 V6 K7 V5 K2 V1 K12 V17 K1 V1 <sep> Q12 Q7,V17 V5,5,2
train,K0 V5 K4 V12 K16 V8 K6 V13 K18 V17 K2 V13 <sep> Q0 Q6 Q16,V5 V13 V8,6,3
train,K5 V13 K8 V9 K14 V14 K15 V5 <sep> Q14 Q15,V14 V5,4,2
train,K3 V6 K16 V7 K18 V0 K8 V2 K19 V14 K13 V10 <sep> Q8 Q19,V2 V14,6,2
train,K11 V3 K5 V19 K19 V8 K6 V17 <sep> Q5,V19,4,1
